Title,PositiveReview,NegativeReview,Score,GuestName,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse,cleaned_positive,cleaned_negative,sentiment,polarity_positive,polarity_negative,visit_month,visit_year
The Verandas,it’s was exceptionally clean and staff all very friendly,,10.0,Theodora,United Kingdom,Double Room with Balcony,5 nights,2021-10-01,Couple,,it’ except clean staff friendli,,positive,0.3666666666666667,0.0,10,2021
"Excellent stay, faultless hotel!","Perfect location to McKenzie Beach and only a 30 minute walk to the central marina. Everyone was very accommodating and welcoming. 
A nice addition to the very clean and tidy room is Netflix.","I have no reason to complain, everything was great!",10.0,Roland,United Kingdom,Double Room with Balcony,1 night,2021-10-01,Solo traveler,,perfect locat mckenzi beach minut walk central marina everyon accommod welcom nice addit clean tidi room netflix,reason complain everyth great,positive,0.4916666666666667,0.8,10,2021
Wonderful,Did not have breakfast.  Left too early.,Nothing,9.0,Lynne,Spain,Double Room with Balcony,1 night,2021-10-01,Couple,,breakfast left earli,noth,positive,0.0,0.0,10,2021
Wonderful,"Staff were very friendly and extremely helpful. A lovely family hotel, refurbished during the main Corona period. In a quiet area 10 minutes from Larnaca airport. Only 6 minutes walk down to the beach & restaurants.","Refurbishment not totally complete, so safety box wasn’t working. Our room was a family suite (for 4 people), so could do with one more double hook in bathroom for towels.",9.0,Bettina,Denmark,Family Suite with Balcony,1 night,2021-10-01,Family,,staff friendli extrem help love famili hotel refurbish main corona period quiet area minut larnaca airport minut walk beach restaur,refurbish total complet safeti box wasn’t work room famili suit peopl could one doubl hook bathroom towel,positive,0.2222222222222222,0.0,10,2021
Clean and comfortable,"I stayed for one night as I arrived late at night at Larnaca Airport and was going to another city (Limassol) the next day. The receptionist was waiting for me to arrive, even though it was after the usual open hours. The room was very clean, a bit small though, but the bathroom was spacious and the bed was comfortable.",,9.0,Julie,Denmark,Double Room with Balcony,1 night,2021-10-01,Solo traveler,,stay one night arriv late night larnaca airport go anoth citi limassol next day receptionist wait arriv even though usual open hour room clean bit small though bathroom spaciou bed comfort,,positive,-0.07222222222222223,0.0,10,2021
Wonderful,"location, room",,9.0,John,United Kingdom,Double Room with Balcony,1 night,2021-09-01,Solo traveler,,locat room,,positive,0.0,0.0,9,2021
Very Happy,Well organised and clean,,9.0,Simon,United Kingdom,Double Room with Balcony,1 night,2021-10-01,Solo traveler,,well organis clean,,positive,0.3666666666666667,0.0,10,2021
Very nice.,"Excellent everything.  We got there early, around 10 am and they had our room ready.  The place was clean, spacious and really nice.  It was a pleasant walk to the sea but there was not much else to do close by.",More restaurants.,10.0,Christina,United States of America,Family Suite with Balcony,1 night,2021-10-01,Group,,excel everyth got earli around room readi place clean spaciou realli nice pleasant walk sea much els close,restaur,positive,0.47500000000000003,0.0,10,2021
"Modern, clean and good value!","I stayed in this hotel (twice) because of the location to the airport.  But, I found it be clean, modern, comfortable and great value for money.  It is a 10 minute walk to Makenzie Beach and those restaurants, but it also has a nice patio restaurant for a meal or cocktail.  The rooms are a bit small, but they have nice amenities (fridge, coffee making, AC, nice balcony) and are spotless and comfortable.  The staff is nice and it's very welcoming.",location - if you want to be in the center of everything (I didn't),8.0,Kim,Jordan,Double Room with Balcony,1 night,2021-10-01,Solo traveler,,stay hotel twice locat airport found clean modern comfort great valu money minut walk makenzi beach restaur also nice patio restaur meal cocktail room bit small nice amen fridg coffe make ac nice balconi spotless comfort staff nice welcom,locat want center everyth didnt,positive,0.4395833333333334,-0.1,10,2021
Very Good,"Room was excellent, very clean and everything seems fairly new. Staff was very helpful. Location is also very good if you have a morning flight, airport is a 7 min drive away.","The noise from the hallway was very loud, the doors are not sound proofed at all and we couldn't sleep because of the noise that was coming around 11, 12, 1 AM.",8.0,Diana,Romania,Double Room with Balcony,1 night,2021-10-01,Group,,room excel clean everyth seem fairli new staff help locat also good morn flight airport min drive away,nois hallway loud door sound proof couldnt sleep nois come around,positive,0.40101010101010104,0.25,10,2021
Exceptional,"nice small hotel not far from the airport.
everything was good. clean and fresh rooms, good hosts, and 5 min walk to the beach.","smell from the lake, but it doesn’t depend on the hotel.",10.0,Andrii,Ukraine,Two-Bedroom Suite,1 night,2021-10-01,Group,,nice small hotel far airport everyth good clean fresh room good host min walk beach,smell lake doesn’t depend hotel,positive,0.3595238095238095,0.0,10,2021
Wonderful,Clean and freshly renovated room,,9.0,Alina,Ukraine,Double Room with Balcony,1 night,2021-10-01,Solo traveler,,clean freshli renov room,,positive,0.3666666666666667,0.0,10,2021
Wonderful,This Hotel was perfect for us because we arrived late at night with the intention to get some rest before we continued our journey. It’s location was ideal for the purpose of our stay because it’s close to the Larnaca AirPort. The host of the Hotel was so kind and helpful. Always a smile on his face with great energy and amazing hospitality making sure we had a great stay. I would rate him 10/10 for sure!,,9.0,Dino,Sweden,Double Room,1 night,2021-10-01,Couple,,hotel perfect u arriv late night intent get rest continu journey it’ locat ideal purpos stay it’ close larnaca airport host hotel kind help alway smile face great energi amaz hospit make sure great stay would rate sure,,positive,0.5666666666666667,0.0,10,2021
Perfect place for shorter vacations.,"Everything was very clean, the bed was comfortable, spacious bathroom. The beach is very close and the bus to the airport is only 50 meters away.","The room was a bit cramped, but we could fit. It may have been a unique case, but a rather disturbing odor of sewage came out of the drains. The smell could be felt on the street that day as well.",9.0,Gábor,Hungary,Double Room with Balcony,1 night,2021-10-01,Couple,,everyth clean bed comfort spaciou bathroom beach close bu airport meter away,room bit cramp could fit may uniqu case rather disturb odor sewag came drain smell could felt street day well,positive,0.3666666666666667,0.4,10,2021
Wonderful,Small and quiet,,9.0,Spartak,Ukraine,Double Room with Balcony,7 nights,2021-10-01,Couple,,small quiet,,positive,-0.125,0.0,10,2021
Exceptional,The staff was exceptional. They were really customer-centric and kind. The breakfast was really delicious too 😊,Nothing. It was perfect,10.0,Helga,Germany,Double Room with Balcony,4 nights,2021-10-01,Solo traveler,,staff except realli customercentr kind breakfast realli delici,noth perfect,positive,0.6,1.0,10,2021
Exceptional,"Clean fresh nice and peaceful 
Very welcoming",All spot on,10.0,Anna,United Kingdom,Double Room with Balcony,1 night,2021-10-01,Group,,clean fresh nice peac welcom,spot,positive,0.4222222222222222,0.0,10,2021
Wonderful,"The staff was super nice!
We needed a taxi for the airport and they've helped us book it for a really good price (better than everything we've seen online). The room was really clean and the bed was comfortable.","The wifi in the room wasn't great. We had to work that day so we needed a strong wifi, but there is a Cafe Nero 10 minutes away which was perfect.",9.0,Larisa,United Kingdom,Double Room,1 night,2021-09-01,Solo traveler,,staff super nice need taxi airport theyv help u book realli good price better everyth weve seen onlin room realli clean bed comfort,wifi room wasnt great work day need strong wifi cafe nero minut away perfect,positive,0.5,0.7444444444444445,9,2021
Exceptional,Breakfast was exceptional,Size of room was a bit small,10.0,George,United States of America,Double Room,1 night,2021-10-01,Couple,,breakfast except,size room bit small,positive,0.0,-0.25,10,2021
Exceptional,Absolutely clean and friendly staff. Ultimate hygiene. Very clean . Very economic . Staff and owners very friendly and helpful . Location is great . Definitely a place to come again if came to larnaca,Nothing,10.0,Louise,Qatar,Double Room with Balcony,2 nights,2021-10-01,Solo traveler,,absolut clean friendli staff ultim hygien clean econom staff owner friendli help locat great definit place come came larnaca,noth,positive,0.5111111111111112,0.0,10,2021
Good Vibes,"A modern, clean, friendly and all you need for a great Holiday.",,10.0,Teena,United Kingdom,Double Room with Balcony,1 night,2021-09-01,Couple,,modern clean friendli need great holiday,,positive,0.45555555555555555,0.0,9,2021
Fabulous hotel,"Exceptionally friendly and helpful. Tastefully decorated room and super comfy bed.
Dinner and breakfast were freshly made and very tasty.",Couldn’t fault it at all,10.0,Tonia,United Kingdom,Double Room with Balcony,1 night,2021-09-01,Couple,,except friendli help tast decor room super comfi bed dinner breakfast freshli made tasti,couldn’t fault,positive,0.3333333333333333,0.0,9,2021
Wonderful,"Excellent hotel, clean and with excellent owners",Nothing,9.0,Morgan,Australia,Double Room,1 night,2021-09-01,Solo traveler,,excel hotel clean excel owner,noth,positive,0.3666666666666667,0.0,9,2021
"Value for money, friendly staff, brand new facilities","The family running this hotel are very friendly and welcoming! They gave us a free room upgrade. The building and the hotel are brand new. Spotlessly clean. Walking distance to the beach, restaurants and shops. It is away from traffic. Fully stocked minibar with coffee and tea-making facilities. Value for money. We will stay again!
Tip: If you like sleeping in the dark, bring a sleeping mask and/or some blu tack to secure the curtains in place.",On the 4th floor with all the windows and balcony doors locked we could still hear some outside noise.,9.0,Dimitrios,Cyprus,Double Room with Balcony,2 nights,2021-09-01,Couple,,famili run hotel friendli welcom gave u free room upgrad build hotel brand new spotlessli clean walk distanc beach restaur shop away traffic fulli stock minibar coffe teamak facil valu money stay tip like sleep dark bring sleep mask andor blu tack secur curtain place,th floor window balconi door lock could still hear outsid nois,positive,0.18825757575757576,0.0,9,2021
